processor_name,category,feat.total_cores,feat.total_threads,feat.max_turbo_ghz,feat.base_freq_ghz,feat.cache_mb,feat.base_power_w,feat.turbo_power_w,feat.price_usd,feat.max_mem_gb,feat.gfx_max_dyn_ghz,feat.execution_units,feat.vertical_segment,feat.freq_per_watt,feat.cores_per_watt,feat.cache_per_core
Intel® Core™ 3 processor 100HL (12M Cache- up to 4.60 GHz),Core_Processors,8,12,4.6,2.1,12.0,45.0,115.0,306.0,96.0,1.3,48.0,Embedded,0.10222222222222221,0.17777777777777778,1.5
Intel® Core™ 3 processor 100UL (10M Cache- up to 4.50 GHz),Core_Processors,6,8,4.5,2.4,10.0,15.0,55.0,285.0,96.0,1.25,64.0,Embedded,0.3,0.4,1.6666666666666667
Intel® Core™ 3 processor 100U (10M Cache- up to 4.70 GHz),Core_Processors,6,8,4.7,2.4,10.0,15.0,55.0,1195.0,96.0,1.25,64.0,Mobile,0.31333333333333335,0.4,1.6666666666666667
Intel® Core™ 3 processor 100U (10M Cache- up to 4.70 GHz- with IPU),Core_Processors,6,8,4.7,2.4,10.0,15.0,55.0,1195.0,96.0,1.25,64.0,Mobile,0.31333333333333335,0.4,1.6666666666666667
Intel® Core™ 3 Processor 201EF (12M Cache- up to 4.80 GHz),Core_Processors,4,8,4.8,2.4,12.0,35.0,115.0,1195.0,192.0,1.85,72.0,Embedded,0.14285714285714285,0.4,3.0
Intel® Core™ 3 Processor 201E (12M Cache- up to 4.80 GHz),Core_Processors,4,8,4.8,2.4,12.0,35.0,115.0,134.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,3.0
Intel® Core™ 3 Processor 201TE (12M Cache- up to 4.60 GHz),Core_Processors,4,8,4.6,2.4,12.0,35.0,115.0,134.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,3.0
Intel® Core™ 5 processor 120HL (18M Cache- up to 4.70 GHz),Core_Processors,12,16,4.7,2.4,18.0,45.0,95.0,279.0,96.0,1.45,80.0,Embedded,0.10444444444444445,0.26666666666666666,1.5
Intel® Core™ 5 processor 120UL (12M Cache- up to 4.60 GHz),Core_Processors,10,12,4.6,2.4,12.0,15.0,55.0,277.0,96.0,1.25,80.0,Embedded,0.30666666666666664,0.6666666666666666,1.2
Intel® Core™ 5 processor 120U (12M Cache- up to 5.00 GHz),Core_Processors,10,12,5.0,2.4,12.0,15.0,55.0,1195.0,96.0,1.3,80.0,Mobile,0.3333333333333333,0.6666666666666666,1.2
Intel® Core™ 5 processor 130HL (18M Cache- up to 4.80 GHz),Core_Processors,12,16,4.8,2.4,18.0,45.0,95.0,311.0,96.0,1.5,80.0,Embedded,0.10666666666666666,0.26666666666666666,1.5
Intel® Core™ 5 processor 130UL (12M Cache- up to 4.70 GHz),Core_Processors,10,12,4.7,2.4,12.0,15.0,55.0,309.0,96.0,1.25,80.0,Embedded,0.31333333333333335,0.6666666666666666,1.2
Intel® Core™ 5 processor 210H (12M Cache- up to 4.80 GHz),Core_Processors,8,12,4.8,2.4,12.0,45.0,115.0,1195.0,96.0,1.4,48.0,Mobile,0.10666666666666666,0.17777777777777778,1.5
Intel® Core™ 5 Processor 211EF (20M Cache- up to 4.90 GHz),Core_Processors,10,16,4.9,2.4,20.0,35.0,115.0,1195.0,192.0,1.85,0.0,Embedded,0.14285714285714285,0.4,2.0
Intel® Core™ 5 Processor 211E (20M Cache- up to 4.90 GHz),Core_Processors,10,16,4.9,2.4,20.0,35.0,115.0,221.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,2.0
Intel® Core™ 5 Processor 211TE (20M Cache- up to 4.80 GHz),Core_Processors,10,16,4.8,2.4,20.0,35.0,115.0,221.0,192.0,1.55,24.0,Embedded,0.14285714285714285,0.4,2.0
Intel® Core™ 5 processor 220H (18M Cache- up to 4.90 GHz),Core_Processors,12,16,4.9,2.4,18.0,45.0,115.0,1195.0,96.0,1.5,80.0,Mobile,0.1088888888888889,0.26666666666666666,1.5
Intel® Core™ 5 processor 220U (12M Cache- up to 5.00 GHz),Core_Processors,10,12,5.0,2.4,12.0,15.0,55.0,1195.0,96.0,1.3,80.0,Mobile,0.3333333333333333,0.6666666666666666,1.2
Intel® Core™ 5 Processor 221E (24M Cache- up to 5.20 GHz),Core_Processors,14,20,5.2,2.4,24.0,35.0,115.0,232.0,192.0,1.55,32.0,Embedded,0.14285714285714285,0.4,1.7142857142857142
Intel® Core™ 5 Processor 221TE (24M Cache- up to 5.00 GHz),Core_Processors,14,20,5.0,2.4,24.0,35.0,115.0,232.0,192.0,1.55,32.0,Embedded,0.14285714285714285,0.4,1.7142857142857142
Intel® Core™  7 processor 150HL (24M Cache- up to 5.00 GHz),Core_Processors,14,20,5.0,2.4,24.0,45.0,115.0,430.0,96.0,1.5,96.0,Embedded,0.1111111111111111,0.3111111111111111,1.7142857142857142
Intel® Core™ 7 processor 150UL (12M Cache- up to 5.00 GHz),Core_Processors,10,12,5.0,2.4,12.0,15.0,55.0,399.0,96.0,1.3,96.0,Embedded,0.3333333333333333,0.6666666666666666,1.2
Intel® Core™ 7 processor 150U (12M Cache- up to 5.40 GHz),Core_Processors,10,12,5.4,2.4,12.0,15.0,55.0,1195.0,96.0,1.3,96.0,Mobile,0.36000000000000004,0.6666666666666666,1.2
Intel® Core™ 7 processor 160HL (24M Cache- up to 5.20 GHz),Core_Processors,14,20,5.2,2.4,24.0,45.0,115.0,457.0,96.0,1.5,96.0,Embedded,0.11555555555555556,0.3111111111111111,1.7142857142857142
Intel® Core™ 7 processor 160UL (12M Cache- up to 5.20 GHz),Core_Processors,10,12,5.2,2.4,12.0,15.0,55.0,426.0,96.0,1.3,96.0,Embedded,0.3466666666666667,0.6666666666666666,1.2
Intel® Core™ 7 processor 240H (24M Cache- up to 5.20 GHz),Core_Processors,10,16,5.2,2.4,24.0,45.0,115.0,1195.0,96.0,1.55,64.0,Mobile,0.11555555555555556,0.2222222222222222,2.4
Intel® Core™ 7 processor 250H (24M Cache- up to 5.40 GHz),Core_Processors,14,20,5.4,2.4,24.0,45.0,115.0,1195.0,96.0,1.55,96.0,Mobile,0.12000000000000001,0.3111111111111111,1.7142857142857142
Intel® Core™ 7 processor 250U (12M Cache- up to 5.40 GHz),Core_Processors,10,12,5.4,2.4,12.0,15.0,55.0,1195.0,96.0,1.3,96.0,Mobile,0.36000000000000004,0.6666666666666666,1.2
Intel® Core™ 7 Processor 251E (36M Cache- up to 5.60 GHz),Core_Processors,24,32,5.6,2.4,36.0,35.0,115.0,384.0,192.0,1.66,32.0,Embedded,0.14285714285714285,0.4,1.5
Intel® Core™ 7 Processor 251TE (36M Cache- up to 5.40 GHz),Core_Processors,24,32,5.4,2.4,36.0,35.0,115.0,384.0,192.0,1.6,32.0,Embedded,0.14285714285714285,0.4,1.5
Intel® Core™ 9 processor 270H (24M Cache- up to 5.80 GHz),Core_Processors,14,20,5.8,2.4,24.0,45.0,115.0,1195.0,96.0,1.55,96.0,Mobile,0.1288888888888889,0.3111111111111111,1.7142857142857142
Intel® Core™ Ultra 5 Processor 225F (20M Cache- up to 4.90 GHz),Core_Ultra_Processors,10,10,4.9,2.4,20.0,65.0,121.0,221.0,256.0,1.85,72.0,Desktop,0.07538461538461538,0.15384615384615385,2.0
Intel® Core™ Ultra 5 Processor 225H (18M Cache- up to 4.90 GHz),Core_Ultra_Processors,14,14,4.9,2.4,18.0,28.0,115.0,1195.0,128.0,2.2,72.0,Mobile,0.17500000000000002,0.5,1.2857142857142858
Intel® Core™ Ultra 5 Processor 225T (20M Cache- up to 4.90 GHz),Core_Ultra_Processors,10,10,4.9,2.4,20.0,35.0,114.0,236.0,256.0,1.8,72.0,Desktop,0.14,0.2857142857142857,2.0
Intel® Core™ Ultra 5 Processor 225U (12M Cache- up to 4.80 GHz),Core_Ultra_Processors,12,14,4.8,2.4,12.0,15.0,57.0,1195.0,128.0,2.0,72.0,Mobile,0.32,0.8,1.0
Intel® Core™ Ultra 5 Processor 225 (20M Cache- up to 4.90 GHz),Core_Ultra_Processors,10,10,4.9,2.4,20.0,65.0,121.0,236.0,256.0,1.8,72.0,Desktop,0.07538461538461538,0.15384615384615385,2.0
Intel® Core™ Ultra 5 Processor 226V (8M Cache- up to 4.50 GHz),Core_Ultra_Processors,8,8,4.5,2.4,8.0,17.0,37.0,1195.0,16.0,1.85,72.0,Mobile,0.2647058823529412,0.47058823529411764,1.0
Intel® Core™ Ultra 5 Processor 228V (8M Cache- up to 4.50 GHz),Core_Ultra_Processors,8,8,4.5,2.4,8.0,17.0,37.0,1195.0,32.0,1.85,72.0,Mobile,0.2647058823529412,0.47058823529411764,1.0
Intel® Core™ Ultra 5 Processor 230F (24M Cache- up to 5.00 GHz),Core_Ultra_Processors,10,10,5.0,2.4,24.0,65.0,121.0,1195.0,256.0,1.85,72.0,Desktop,0.07692307692307693,0.15384615384615385,2.4
Intel® Core™ Ultra 5 Processor 235A (24M Cache- up to 5.00 GHz),Core_Ultra_Processors,14,14,5.0,2.4,24.0,65.0,121.0,269.0,256.0,2.0,72.0,Desktop,0.07692307692307693,0.2153846153846154,1.7142857142857142
Intel® Core™ Ultra 5 Processor 235HX (24M Cache- up to 5.10 GHz),Core_Ultra_Processors,14,14,5.1,2.4,24.0,55.0,160.0,1195.0,256.0,1.8,72.0,Mobile,0.09272727272727273,0.2545454545454545,1.7142857142857142
Intel® Core™ Ultra 5 Processor 235H (18M Cache- up to 5.00 GHz),Core_Ultra_Processors,14,14,5.0,2.4,18.0,28.0,115.0,1195.0,128.0,2.25,72.0,Mobile,0.17857142857142858,0.5,1.2857142857142858
Intel® Core™ Ultra 5 Processor 235TA (24M Cache- up to 5.00 GHz),Core_Ultra_Processors,14,14,5.0,2.4,24.0,35.0,114.0,269.0,256.0,2.0,72.0,Desktop,0.14285714285714285,0.4,1.7142857142857142
Intel® Core™ Ultra 5 Processor 235T (24M Cache- up to 5.00 GHz),Core_Ultra_Processors,14,14,5.0,2.4,24.0,35.0,114.0,247.0,256.0,2.0,72.0,Desktop,0.14285714285714285,0.4,1.7142857142857142
Intel® Core™ Ultra 5 Processor 235U (12M Cache- up to 4.90 GHz),Core_Ultra_Processors,12,14,4.9,2.4,12.0,15.0,57.0,1195.0,128.0,2.05,72.0,Mobile,0.3266666666666667,0.8,1.0
Intel® Core™ Ultra 5 Processor 235 (24M Cache- up to 5.00 GHz),Core_Ultra_Processors,14,14,5.0,2.4,24.0,65.0,121.0,247.0,256.0,2.0,72.0,Desktop,0.07692307692307693,0.2153846153846154,1.7142857142857142
Intel® Core™ Ultra 5 Processor 236V (8M Cache- up to 4.70 GHz),Core_Ultra_Processors,8,8,4.7,2.4,8.0,17.0,37.0,1195.0,16.0,1.85,72.0,Mobile,0.27647058823529413,0.47058823529411764,1.0
Intel® Core™ Ultra 5 Processor 238V (8M Cache- up to 4.70 GHz),Core_Ultra_Processors,8,8,4.7,2.4,8.0,17.0,37.0,1195.0,32.0,1.85,72.0,Mobile,0.27647058823529413,0.47058823529411764,1.0
Intel® Core™ Ultra 5 Processor 245HX (24M Cache- up to 5.10 GHz),Core_Ultra_Processors,14,14,5.1,2.4,24.0,55.0,160.0,1195.0,256.0,1.9,72.0,Mobile,0.09272727272727273,0.2545454545454545,1.7142857142857142
Intel® Core™ Ultra 5 Processor 245KF (24M Cache- up to 5.20 GHz),Core_Ultra_Processors,14,14,5.2,2.4,24.0,125.0,159.0,294.0,256.0,1.85,72.0,Desktop,0.0416,0.112,1.7142857142857142
Intel® Core™ Ultra 5 Processor 245K (24M Cache- up to 5.20 GHz),Core_Ultra_Processors,14,14,5.2,2.4,24.0,125.0,159.0,309.0,256.0,1.9,72.0,Desktop,0.0416,0.112,1.7142857142857142
Intel® Core™ Ultra 5 Processor 245T (24M Cache- up to 5.10 GHz),Core_Ultra_Processors,14,14,5.1,2.4,24.0,35.0,114.0,270.0,256.0,1.9,72.0,Desktop,0.1457142857142857,0.4,1.7142857142857142
Intel® Core™ Ultra 5 Processor 245 (24M Cache- up to 5.10 GHz),Core_Ultra_Processors,14,14,5.1,2.4,24.0,65.0,121.0,270.0,256.0,1.9,72.0,Desktop,0.07846153846153846,0.2153846153846154,1.7142857142857142
Intel® Core™ Ultra 7 Processor 255HX (30M Cache- up to 5.20 GHz),Core_Ultra_Processors,20,20,5.2,2.4,30.0,55.0,160.0,1195.0,256.0,1.85,72.0,Mobile,0.09454545454545454,0.36363636363636365,1.5
Intel® Core™ Ultra 7 Processor 255H (24M Cache- up to 5.10 GHz),Core_Ultra_Processors,16,16,5.1,2.4,24.0,28.0,115.0,1195.0,128.0,2.25,72.0,Mobile,0.18214285714285713,0.5714285714285714,1.5
Intel® Core™ Ultra 7 Processor 255U (12M Cache- up to 5.20 GHz),Core_Ultra_Processors,12,14,5.2,2.4,12.0,15.0,57.0,1195.0,128.0,2.1,72.0,Mobile,0.3466666666666667,0.8,1.0
Intel® Core™ Ultra 7 Processor 256V (12M Cache- up to 4.80 GHz),Core_Ultra_Processors,8,8,4.8,2.4,12.0,17.0,37.0,1195.0,16.0,1.95,72.0,Mobile,0.2823529411764706,0.47058823529411764,1.5
Intel® Core™ Ultra 7 Processor 258V (12M Cache- up to 4.80 GHz),Core_Ultra_Processors,8,8,4.8,2.4,12.0,17.0,37.0,1195.0,32.0,1.95,72.0,Mobile,0.2823529411764706,0.47058823529411764,1.5
Intel® Core™ Ultra 7 Processor 265F (30M Cache- up to 5.30 GHz),Core_Ultra_Processors,20,20,5.3,2.4,30.0,65.0,182.0,369.0,256.0,1.85,72.0,Desktop,0.08153846153846153,0.3076923076923077,1.5
Intel® Core™ Ultra 7 Processor 265HX (30M Cache- up to 5.30 GHz),Core_Ultra_Processors,20,20,5.3,2.4,30.0,55.0,160.0,1195.0,256.0,1.9,72.0,Mobile,0.09636363636363636,0.36363636363636365,1.5
Intel® Core™ Ultra 7 Processor 265H (24M Cache- up to 5.30 GHz),Core_Ultra_Processors,16,16,5.3,2.4,24.0,28.0,115.0,1195.0,128.0,2.3,72.0,Mobile,0.18928571428571428,0.5714285714285714,1.5
Intel® Core™ Ultra 7 Processor 265KF (30M Cache- up to 5.50 GHz),Core_Ultra_Processors,20,20,5.5,2.4,30.0,125.0,250.0,379.0,256.0,1.85,72.0,Desktop,0.044,0.16,1.5
Intel® Core™ Ultra 7 Processor 265K (30M Cache- up to 5.50 GHz),Core_Ultra_Processors,20,20,5.5,2.4,30.0,125.0,250.0,394.0,256.0,2.0,72.0,Desktop,0.044,0.16,1.5
Intel® Core™ Ultra 7 Processor 265T (30M Cache- up to 5.30 GHz),Core_Ultra_Processors,20,20,5.3,2.4,30.0,35.0,112.0,384.0,256.0,1.95,72.0,Desktop,0.1514285714285714,0.5714285714285714,1.5
Intel® Core™ Ultra 7 Processor 265U (12M Cache- up to 5.30 GHz),Core_Ultra_Processors,12,14,5.3,2.4,12.0,15.0,57.0,1195.0,128.0,2.1,72.0,Mobile,0.35333333333333333,0.8,1.0
Intel® Core™ Ultra 7 Processor 265 (30M Cache- up to 5.30 GHz),Core_Ultra_Processors,20,20,5.3,2.4,30.0,65.0,182.0,384.0,256.0,1.95,72.0,Desktop,0.08153846153846153,0.3076923076923077,1.5
Intel® Core™ Ultra 7 Processor 266V (12M Cache- up to 5.00 GHz),Core_Ultra_Processors,8,8,5.0,2.4,12.0,17.0,37.0,1195.0,16.0,2.0,72.0,Mobile,0.29411764705882354,0.47058823529411764,1.5
Intel® Core™ Ultra 7 Processor 268V (12M Cache- up to 5.00 GHz),Core_Ultra_Processors,8,8,5.0,2.4,12.0,17.0,37.0,1195.0,32.0,2.0,72.0,Mobile,0.29411764705882354,0.47058823529411764,1.5
